re,AppID,URL,Game Title,Release Date,AI Disclosure Type,Disclosure Clarity,Launch Base Price (USD),First Price Change Date,Price Adjustment Count,Current Base Price (USD),Price Tier,Dev Tier,Macro Genre,Is_Multiplayer,Is_Early_Access,Global Review Count,Global Rating %,Mean_Sentiment_Score,Reviews_Analyzed,Positive_Sentiment_Ratio,Theme_AI_Ratio,Theme_Scam_Ratio,Theme_Tech_Ratio,Is_AI_Cohort,Unnamed: 0
Game 28,3972650,https://store.steampowered.com/app/3972650/Backpack_Jianghu/,Backpack Jianghu,2026-04-03 00:00:00,1,1,13.99,0,0,13.99,1,1,3,2,0,669,78.06,0.5036759259259259,54,0.7592592592592593,0.037037037037037,0.0185185185185185,0.037037037037037,1,
Game 29,3928990,https://store.steampowered.com/app/3928990/Food_Processing_Simulator/,Food Processing Simulator,2026-05-14 00:00:00,4,1,12.99,0,0,12.99,1,1,3,1,0,331,81.56,0.5826408695652173,115,0.8260869565217391,0.0347826086956521,0.008695652173913,0.0782608695652174,1,
Game 30,3565080,https://store.steampowered.com/app/3565080/Cyber_Rats/,Cyber Rats,2025-10-27 00:00:00,1,1,8.99,2025-12-18 00:00:00,2,7.99,1,1,1,1,0,149,82.66,0.55378,105,0.8,0.0571428571428571,0.0,0.019047619047619,1,
Game 31,2986370,https://store.steampowered.com/app/2986370/Food_Delivery_Simulator/,Food Delivery Simulator,2024-12-10 00:00:00,4,1,7.99,0,0,7.99,1,1,3,1,1,311,71.08,0.2767534246575342,73,0.6027397260273972,0.0547945205479452,0.0,0.3424657534246575,1,
Game 32,3772080,https://store.steampowered.com/app/3772080/blis3Phenomena/,Iblis3:Phenomena,2025-10-27 00:00:00,1,2,12.99,0,0,12.99,1,1,1,1,0,293,57.13,0.0444647058823529,68,0.3676470588235294,0.0147058823529411,0.0,0.0294117647058823,1,
Game 33,3528280,https://store.steampowered.com/app/3528280/Crime_Detective_Red_Flags/,Crime Detective: Red Flags,2025-10-21 00:00:00,4,1,6.99,0,0,6.99,1,1,1,1,0,288,59.66,0.2443999999999999,105,0.5523809523809524,0.0095238095238095,0.0285714285714285,0.1238095238095238,1,
Game 34,4032350,https://store.steampowered.com/app/4032350/EA_SPORTS_College_Football_27/,EA SPORTS™ College Football 27,2026-07-09 00:00:00,1,2,69.99,0,0,69.99,3,2,3,2,0,2259,40.42,0.2310853333333333,300,0.5833333333333334,0.0633333333333333,0.0033333333333333,0.24,1,
Game 35,2430390,https://store.steampowered.com/app/2430390/DYSPLACED/,DYSPLACED,2026-03-05 00:00:00,1,1,24.99,0,0,24.99,2,1,1,2,1,328,81.7,0.5691307692307692,182,0.8351648351648352,0.0219780219780219,0.0109890109890109,0.1428571428571428,1,
Game 36,4570720,https://store.steampowered.com/app/4570720/DragonSword__Awakening/,DragonSword : Awakening,2026-07-23 00:00:00,2,1,29.99,0,0,29.99,2,2,2,2,0,8749,87.57,0.6324646666666667,300,0.8633333333333333,0.02,0.0033333333333333,0.0466666666666666,1,
Game 37,3992260,https://store.steampowered.com/app/3992260/Ascend_From_Nine_Mountains/,Ascend From Nine Mountains,2025-10-02 00:00:00,1,2,9.99,2026-07-09 00:00:00,2,19.99,1,1,2,1,1,285,86.3,0.6206480198019803,202,0.8514851485148515,0.0742574257425742,0.0,0.0445544554455445,1,
Game 38,3919360,https://store.steampowered.com/app/3919360/Dig_Island/,Dig Island,2026-01-30 00:00:00,4,1,14.99,0,0,14.99,1,1,3,2,1,296,79.91,0.5630839622641509,106,0.8018867924528302,0.0188679245283018,0.0094339622641509,0.1132075471698113,1,
Game 39,3266090,https://store.steampowered.com/app/3266090/IT_Specialist_Simulator/,IT Specialist Simulator,2025-11-20 00:00:00,4,1,13.99,0,0,13.99,1,1,3,1,1,418,71.24,0.4778722943722943,231,0.7532467532467533,0.0086580086580086,0.0,0.2727272727272727,1,
Game 40,2959610,https://store.steampowered.com/app/2959610/Cabin_Crew_Life_Simulator/,Cabin Crew Life Simulator,2025-02-19 00:00:00,1,1,12.99,0,0,12.99,1,1,3,1,1,525,68.34,0.439348679245283,265,0.7584905660377359,0.0415094339622641,0.0113207547169811,0.3056603773584905,1,
Game 41,3924170,https://store.steampowered.com/app/3924170/Eternal_Afternoon/,Eternal Afternoon,2026-03-03 00:00:00,3,1,8.99,0,0,8.99,1,1,2,1,0,437,87.57,0.5717123333333334,300,0.8166666666666667,0.0133333333333333,0.0,0.03,1,
Game 42,2597810,https://store.steampowered.com/app/2597810/Afallon/,Afallon,2025-11-27 00:00:00,3,1,11.99,0,0,11.99,1,1,2,1,1,213,73.13,0.6066868613138686,137,0.8248175182481752,0.0218978102189781,0.0072992700729927,0.1532846715328467,1,
Game 43,2215410,https://store.steampowered.com/app/2215410/Anime_City/,Anime City,2024-12-15 00:00:00,1,1,14.99,0,0,14.99,1,1,3,1,1,211,68.78,0.430687,100,0.7,0.1,0.0,0.04,1,
Game 44,3073580,https://store.steampowered.com/app/3073580/Aquatic_Store_Simulator/,Aquatic Store Simulator,2024-11-05 00:00:00,4,1,8.99,0,0,8.99,1,1,3,1,0,200,67.54,0.4858365079365079,63,0.7619047619047619,0.0,0.0158730158730158,0.0952380952380952,1,
Game 45,2923390,https://store.steampowered.com/app/2923390/Clothing_Store_Simulator/,Clothing Store Simulator,2025-11-28 00:00:00,4,1,12.99,0,0,12.99,1,1,3,1,1,1248,85.1,0.5291020000000001,300,0.8066666666666666,0.02,0.0266666666666666,0.14,1,
Game 46,3226210,https://store.steampowered.com/app/3226210/Skeleseller/,Skeleseller,2026-03-17 00:00:00,1,1,9.99,2026-03-24 00:00:00,2,6.99,1,1,3,1,0,419,84.89,0.6343776515151515,264,0.8825757575757576,0.0151515151515151,0.0,0.0151515151515151,1,
Game 47,4384550,https://store.steampowered.com/app/4384550/Call_of_Duty_Black_Ops_6/,Call of Duty®: Black Ops 6,2024-11-01 00:00:00,1,2,69.99,0,0,69.99,3,2,1,2,0,15764,44.57,0.3453523333333333,300,0.6466666666666666,0.0166666666666666,0.0033333333333333,0.0633333333333333,1,
Game 48,3237570,https://store.steampowered.com/app/3237570/delivery_pals/,delivery pals,2025-07-29 00:00:00,1,1,9.99,0,0,9.99,1,1,1,2,0,176,47.76,0.29864375,64,0.609375,0.0625,0.015625,0.171875,1,
Game 49,2425150,https://store.steampowered.com/app/2425150/King_of_Retail_2/,King of Retail 2,2025-05-22 00:00:00,1,1,24.99,2026-01-27 00:00:00,1,19.99,2,1,3,1,1,320,74.98,0.5609609090909091,110,0.8454545454545455,0.0454545454545454,0.0363636363636363,0.1363636363636363,1,
Game 50,3130340,https://store.steampowered.com/app/3130340/Bean_There_Won_That/,"Bean There, Won That",2024-09-25 00:00:00,2,1,14.99,2024-10-04 00:00:00,1,11.99,1,1,4,2,0,135,70.3,0.497574647887324,71,0.7323943661971831,0.056338028169014,0.0,0.1830985915492957,1,
Game 51,3702930,https://store.steampowered.com/app/3702930/Bum_Revenge/,Bum: Revenge,2025-07-30 00:00:00,1,1,14.99,2026-01-29 00:00:00,1,9.99,1,1,1,2,1,413,61.25,0.2946564285714285,140,0.6214285714285714,0.0785714285714285,0.0,0.1857142857142857,1,
